format_start,format_end,sport,competition_type,competition_tier,competition_name,competition_structure,qualification_structure,division_name,organisation_name,association_name,clubs,clubs_including_qualifying_rounds,qualification_spots,entry_format,player_type,competition_format,venue_format,semis_venue_format,finals_venue_format,competition_playoffs,uneven_team_format,match_format,draw_format,add_draw_fromat,semis_format,finals_format,finals_draw_format,finals_add_draw_fromat,score_try,score_conversion,score_drop_goal,score_penalty_goal,ranking_format,win,draw,loss,tiebreaker_title,promotion,tiebreaker_promotion,promotion_format,relegation,relegation_format,,,,,,,,,,,,,,,,
1929,1929,Ice Hockey,league,1,Southern League,single_division,none,,British Ice Hockey Association,British Ice Hockey Association,5,5,0,geography,professional,double_round_robin_and_varsity,home_and_away_and_varsity,none,none,top_four,none,single_leg,none,none,none,none,none,none,,,,,points,0,0,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1929,1929,Ice Hockey,league,1,Northern League,single_division,none,,British Ice Hockey Association,British Ice Hockey Association,5,5,0,geography,professional,double_round_robin,home_and_away,none,none,top_two,none,single_leg,none,none,none,none,none,none,,,,,points,0,0,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1929,1929,Ice Hockey,league,1,Scottish League,two_divisions,points_competition,First Division,British Ice Hockey Association,British Ice Hockey Association,5,10,5,geography,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,none,,,,,points,2,1,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1929,1929,Ice Hockey,league,2,Scottish League,two_divisions,points_competition,Second Division,British Ice Hockey Association,British Ice Hockey Association,5,10,5,geography,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,none,,,,,points,2,1,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1929,1929,Ice Hockey,cup,1,Patton Cup,single_round,none,,British Ice Hockey Association,British Ice Hockey Association,2,2,0,league_champions,professional,single_elimination,neutral,none,neutral,none,none,single_leg,none,none,single_leg,single_leg,none,none,,,,,none,0,0,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1929,1929,Ice Hockey,cup,1,Mitchell Trophy,four_rounds,none,,British Ice Hockey Association,British Ice Hockey Association,10,10,0,league_membership,professional,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_weaker_teams,single_leg,replay,none,single_leg,single_leg,none,none,,,,,none,0,0,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1930,1930,Ice Hockey,league,1,Southern League,suspended,none,,British Ice Hockey Association,British Ice Hockey Association,5,5,0,geography,professional,suspended,none,none,none,none,none,single_leg,none,none,none,none,none,none,,,,,none,0,0,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1930,1930,Ice Hockey,league,1,Northern League,suspended,none,,British Ice Hockey Association,British Ice Hockey Association,5,5,0,geography,professional,suspended,none,none,none,none,none,single_leg,none,none,none,none,none,none,,,,,none,0,0,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1930,1931,Ice Hockey,league,1,Scottish League,single_division,none,,British Ice Hockey Association,British Ice Hockey Association,9,9,0,geography,professional,round_robin,first_drawn_preference,none,none,none,none,single_leg,none,none,none,none,none,none,,,,,points,2,1,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1930,1930,Ice Hockey,cup,1,Patton Cup,suspended,none,,British Ice Hockey Association,British Ice Hockey Association,3,2,0,league_champions,professional,suspended,none,none,none,none,none,single_leg,none,none,none,none,none,none,,,,,none,0,0,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1930,1931,Ice Hockey,cup,1,Mitchell Trophy,four_rounds,none,,British Ice Hockey Association,British Ice Hockey Association,9,9,0,league_membership,professional,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_weaker_teams,single_leg,replay,none,single_leg,single_leg,none,none,,,,,none,0,0,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
1931,1931,Ice Hockey,league,1,English League,single_division,none,,British Ice Hockey Association,British Ice Hockey Association,7,7,0,geography,professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,single_leg,none,none,none,,,,,points,2,1,0,none,0,none,none,0,none,,,,,,,,,,,,,,,,
