format_start,format_end,sport,competition_type,competition_tier,competition_name,competition_structure,qualification_structure,division_name,organisation_name,association_name,clubs,clubs_including_qualifying_rounds,qualification_spots,entry_format,player_type,competition_format,venue_format,semis_venue_format,finals_venue_format,competition_playoffs,uneven_team_format,match_format,draw_format,add_draw_fromat,finals_format,finals_draw_format,finals_add_draw_fromat,score_try,score_conversion,score_drop_goal,score_penalty_goal,ranking_format,win,draw,loss,tiebreaker_title,promotion,tiebreaker_promotion,promotion_format,relegation,relegation_format
1895,1895,rugby_league,league,1,Northern Rugby Football Union Championship,single_division,none,,Northern Rugby Football Union,Northern Rugby Football Union,22,22,0,association_membership,semi-professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,4,3,points,2,1,0,none,0,none,none,0,none
1896,1896,rugby_league,league,1,Northern Rugby Football Union Championship,separate_county_championships,none,Lancashire Senior Competition,Northern Rugby Football Union,Northern Rugby Football Union,14,14,0,association_membership,semi-professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,4,3,points,2,1,0,none,0,none,none,0,none
1896,1896,rugby_league,league,1,Northern Rugby Football Union Championship,separate_county_championships,none,Yorkshire Senior Competition,Northern Rugby Football Union,Northern Rugby Football Union,16,16,0,association_membership,semi-professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,4,3,points,2,1,0,none,0,none,none,0,none
1896,1896,rugby_league,cup,1,Challenge Cup,six_rounds,none,,Northern Rugby Football Union,Northern Rugby Football Union,40,40,0,association_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,4,3,none,0,0,0,none,0,none,none,0,none
1897,1897,rugby_league,league,1,Northern Rugby Football Union Championship,separate_county_championships,none,Lancashire Senior Competition,Northern Rugby Football Union,Northern Rugby Football Union,14,14,0,association_membership,semi-professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,championship_playoff,0,none,none,0,none
1897,1897,rugby_league,league,1,Northern Rugby Football Union Championship,separate_county_championships,none,Yorkshire Senior Competition,Northern Rugby Football Union,Northern Rugby Football Union,16,16,0,association_membership,semi-professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,championship_playoff,0,none,none,0,none
1897,1897,rugby_league,cup,1,Challenge Cup,six_rounds,none,,Northern Rugby Football Union,Northern Rugby Football Union,59,59,0,association_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
1898,1900,rugby_league,league,1,Northern Rugby Football Union Championship,separate_county_championships,none,Lancashire Senior Competition,Northern Rugby Football Union,Northern Rugby Football Union,14,14,0,association_membership,semi-professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,championship_playoff,0,none,none,1,test_match
1898,1900,rugby_league,league,1,Northern Rugby Football Union Championship,separate_county_championships,none,Yorkshire Senior Competition,Northern Rugby Football Union,Northern Rugby Football Union,16,16,0,association_membership,semi-professional,double_round_robin,home_and_away,none,none,none,none,single_leg,none,none,none,none,none,3,2,2,2,points,2,1,0,championship_playoff,0,none,none,1,test_match
1898,1899,rugby_league,cup,1,Challenge Cup,six_rounds,none,,Northern Rugby Football Union,Northern Rugby Football Union,64,64,0,association_membership,both,single_elimination,first_drawn_preference,neutral,neutral,none,first_round_bye_to_random_team,single_leg,replay,none,single_leg,none,none,3,2,2,2,none,0,0,0,none,0,none,none,0,none
