level,name_base,name_prefix,name_suffix,name_full,name_short,organiser,organiser_name,clubs,entry,stages,qualification_spots,qualification_byes_format,tier_1_byes,tier_1_byes_format,tier_1_bye_entry_format,tier_1_entry_format,tier_1_intermediate,tier_1_qualifying_third,tier_1_qualifying_second,tier_1_qualifying_first,tier_1_qualifying_preliminary,tier_2_byes,tier_2_byes_format,tier_2_bye_entry_format,tier_2_entry_format,tier_2_intermediate,tier_2_qualifying_sixth,tier_2_qualifying_fifth,tier_2_qualifying_fourth,tier_2_qualifying_third,tier_2_qualifying_second,tier_2_qualifying_first,tier_2_qualifying_preliminary,amateur_cup_byes,amateur_cup_bye_entry_format,non_association_byes,non_association_bye_entry_format,non_association_other_byes,non_association_other_bye_entry_format,invite_byes,invite_bye_entry_format,format_start,format_end,type,quality,gender,victory,draw,loss,points_tiebreaker,match_system,uneven_team_system,draw_system,replay_venue,add_replay_venue,extra_time,previous_winner,home_and_away,venue_system,venue_semis,venue_finals,video_referee,promotion_teams,promotion_system,relegation_teams,relegation_system
,cup,<owner name> <sport name>|<owner name>,,Youdan Football Cup,Youdan Cup,<local theatre>,Alexandra Theatre,12,open,rounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1867,1867,cup,amateur,men,,,,,knockout,random bye,rouge tiebreaker,,,none,,FALSE,,,,FALSE,0,,0,
,cup,<owner name>,,Cromwell Cup,Cromwell Cup,<local theatre>,Alexandra Theatre,4,open,rounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1868,1868,cup,amateur,men,,,,,knockout,,rouge tiebreaker,,,none,,FALSE,,,,FALSE,0,,0,
,cup,<association name> challenge|<association initials>,,Football Association Challenge Cup,FA Cup,<association>,FA,15,open,rounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1871,1871,cup,amateur,men,,,,,knockout,random bye,bye or replay,negotiation,negotiation,none,,FALSE,negotiation,negotiation,neutral,FALSE,0,,0,
,cup,<association name> challenge|<association initials>,,Football Association Challenge Cup,FA Cup,<association>,FA,16,open,rounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1872,1872,cup,amateur,men,,,,,knockout,random bye,bye or replay,negotiation,negotiation,none,finals bye,FALSE,negotiation,negotiation,neutral,FALSE,0,,0,
,cup,<association name> challenge|<association initials>,,Football Association Challenge Cup,FA Cup,<association>,FA,28,open,rounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1873,1873,cup,amateur,men,,,,,knockout,random bye,bye or replay,negotiation,negotiation,none,1st round,FALSE,negotiation,neutral,neutral,FALSE,0,,0,
,cup,<association name> challenge|<association initials>,,Football Association Challenge Cup,FA Cup,<association>,FA,29,open,rounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1874,1874,cup,amateur,men,,,,,knockout,random bye,bye or replay,negotiation,negotiation,none,1st round,FALSE,negotiation,neutral,neutral,FALSE,0,,0,
,cup,<association name> challenge|<association initials>,,Football Association Challenge Cup,FA Cup,<association>,FA,32,open,rounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1875,1875,cup,amateur,men,,,,,knockout,random bye,bye or replay,negotiation,negotiation,none,1st round,FALSE,negotiation,neutral,neutral,FALSE,0,,0,
,cup,<association name> challenge|<association initials>,,Football Association Challenge Cup,FA Cup,<association>,FA,37,open,rounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1876,1876,cup,amateur,men,,,,,knockout,random bye,bye or replay,negotiation,negotiation,none,1st round,FALSE,negotiation,neutral,neutral,FALSE,0,,0,
,cup,<area name> senior,,Birmingham Senior Cup,Birmingham Senior Cup,<association>,FA,16,invitation,rounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1876,1876,cup,amateur,men,,,,,knockout,random bye,bye or replay,negotiation,negotiation,none,,FALSE,negotiation,negotiation,neutral,FALSE,0,,0,
,cup,<association name> challenge|<association initials>,,Football Association Challenge Cup,FA Cup,<association>,FA,43,open,rounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1877,1878,cup,amateur,men,,,,,knockout,random bye,bye or replay,negotiation,negotiation,none,1st round,FALSE,negotiation,neutral,neutral,FALSE,0,,0,
,cup,<association name> challenge|<association initials>,,Football Association Challenge Cup,FA Cup,<association>,FA,54,open,rounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1879,1879,cup,amateur,men,,,,,knockout,random bye,bye or replay,negotiation,negotiation,none,1st round,FALSE,negotiation,neutral,neutral,FALSE,0,,0,
,cup,<association name> challenge|<association initials>,,Football Association Challenge Cup,FA Cup,<association>,FA,62,open,rounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1880,1880,cup,amateur,men,,,,,knockout,random bye,bye or replay,negotiation,negotiation,none,1st round,FALSE,negotiation,neutral,neutral,FALSE,0,,0,
,cup,<association name> challenge|<association initials>,,Football Association Challenge Cup,FA Cup,<association>,FA,73,open,rounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1881,1881,cup,amateur,men,,,,,knockout,random bye,bye or replay,negotiation,negotiation,none,1st round,FALSE,negotiation,neutral,neutral,FALSE,0,,0,
,cup,<association name> challenge|<association initials>,,Football Association Challenge Cup,FA Cup,<association>,FA,84,open,rounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1882,1882,cup,amateur,men,,,,,knockout,random bye,bye or replay,negotiation,negotiation,none,1st round,FALSE,negotiation,neutral,neutral,FALSE,0,,0,
,cup,<association name> challenge|<association initials>,,Football Association Challenge Cup,FA Cup,<association>,FA,100,open,rounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1883,1883,cup,amateur,men,,,,,knockout,random bye,bye or replay,negotiation,negotiation,none,1st round,FALSE,negotiation,neutral,neutral,FALSE,0,,0,
,cup,<association name> challenge|<association initials>,,Football Association Challenge Cup,FA Cup,<association>,FA,114,open,rounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1884,1884,cup,amateur,men,,,,,knockout,random bye,bye or replay,negotiation,negotiation,none,1st round,FALSE,negotiation,neutral,neutral,FALSE,0,,0,
