team_name,team_base,team_suffix,country_name,sport_name,season_founded,season_last
(NDLB) National Dock Labour Board,,,UK,Rugby League,1951,1977
Abbey Hills,Abbey Hills,_,UK,Rugby League,1897,1897
Aberdare,Aberdare,RLFC,UK,Rugby League,1908,1908
Ace Amateurs,Ace,Amateurs,UK,Rugby League,1971,1993
Ace Caravans,Ace,Caravans,UK,Rugby League,1976,1976
Acton & Willesden,Acton & Willesden,RLFC,UK,Rugby League,1935,1935
Allerton,Allerton,RLFC,UK,Rugby League,1896,1896
Altrincham,Altrincham,RLFC,UK,Rugby League,1897,1901
Alverthorpe,Alverthorpe,RLFC,UK,Rugby League,1899,1902
Askam,Askam,ARLFC,UK,Rugby League,1901,1994
Aspatria,Aspatria,Hornets,UK,Rugby League,1900,1901
Astley & Tyldesley,Astley & Tyldesley,RLFC,UK,Rugby League,1934,1958
Atherton Hornets,Atherton,Hornets,UK,Rugby League,1896,1896
Barnsley United,Barnsley,United,UK,Rugby League,1924,1925
Barrow,Barrow,RLFC,UK,Rugby League,1897,1994
Barrow Cambridge St,Barrow Cambridge St,RLFC,UK,Rugby League,1925,1925
Barrow Island,Barrow Island,ARLFC,UK,Rugby League,1988,1994
Barrow Marsh,Barrow Marsh,Hornets,UK,Rugby League,1932,1934
Barrow St.George's,Barrow St.George's,RLFC,UK,Rugby League,1904,1908
Barry,Barry,RLFC,UK,Rugby League,1908,1908
Barton,Barton,RLFC,UK,Rugby League,1897,1912
Batley,Batley,RLFC,UK,Rugby League,1895,1994
Beecroft and Wightman,Beecroft and Wightman,RLFC,UK,Rugby League,1976,1976
Belle Vue Rangers,Belle Vue,Rangers,UK,Rugby League,1945,1954
Beverley,Beverley,ARLFC,UK,Rugby League,1903,1994
Bickershaw,Bickershaw,Hornets,UK,Rugby League,1929,1929
Birkenhead,Birkenhead,Wanderers,UK,Rugby League,1897,1903
Birstall,Birstall,_,UK,Rugby League,1899,1899
Bisons,Bisons,_,UK,Rugby League,1989,1994
Blackbrook,Blackbrook,ARLFC,UK,Rugby League,1966,1994
Blackpool Borough,Blackpool Borough,_,UK,Rugby League,1954,1986
Blackpool Gladiators,Blackpool,Gladiators,UK,Rugby League,1992,1994
Bowling,Bowling,_,UK,Rugby League,1898,1898
Bradford,Bradford,FC,UK,Rugby League,1895,1906
Bradford Churchill,Bradford Churchill,_,UK,Rugby League,1896,1896
Bradford Dudley Hill,Bradford Dudley Hill,RLFC,UK,Rugby League,1984,1994
Bradford Northern,Bradford,Northern,UK,Rugby League,1907,1994
Bramley,Bramley,RLFC,UK,Rugby League,1896,1994
Bridgend Blue Dragons,Bridgend,Blue Dragons,UK,Rugby League,1984,1984
Brighouse Rangers,Brighouse,Rangers,UK,Rugby League,1895,1914
Brighouse St.James,Brighouse St. James,_,UK,Rugby League,1906,1906
