occupation,count,corrected_occupation,change_category
Farmers Son,130921,Farmer's Son,DICT_LOOKUP
Farmers Daughter,105956,Farmer's Daughter,DICT_LOOKUP
House Keeper,74078,Housekeeper,DICT_LOOKUP
Scholars,33357,Scholar,DICT_LOOKUP
Farmers Wife,26722,Farmer's Wife,DICT_LOOKUP
General Servant Domestic,23231,General Domestic Servant,DICT_LOOKUP
Farmer Son,18551,Farmer's Son,DICT_LOOKUP
Dress Maker,11828,Dressmaker,DICT_LOOKUP
Farmer Daughter,8349,Farmer's Daughter,DICT_LOOKUP
Shop Keeper,7451,Shopkeeper,DICT_LOOKUP
Farmers Sister,5854,Farmer's Sister,DICT_LOOKUP
Schollar,5571,Scholar,DICT_LOOKUP
Servant Domestic,5467,Domestic Servant,DICT_LOOKUP
General Servant-Domestic,4715,General Domestic Servant,DICT_LOOKUP; NORMALIZATION
House Wife,4602,Housewife,DICT_LOOKUP
Schoolar,4214,Scholar,DICT_LOOKUP
Scolar,4056,Scholar,DICT_LOOKUP
Labourer General,3569,General Labourer,DICT_LOOKUP
Black Smith,3537,Blacksmith,DICT_LOOKUP
Farmers Brother,3240,Farmer's Brother,DICT_LOOKUP
Boot Maker,2941,Bootmaker,DICT_LOOKUP
Shoe Maker,2640,Shoemaker,DICT_LOOKUP
Grocers Assistant,2497,Grocer's Assistant,DICT_LOOKUP
Laborer,2468,Labourer,DICT_LOOKUP
House-Keeper,2439,Housekeeper,DICT_LOOKUP; NORMALIZATION
Drapers Assistant,2238,Draper's Assistant,DICT_LOOKUP
Labour,2232,Labourer,DICT_LOOKUP
Agl Labourer,2013,Agricultural Labourer,DICT_LOOKUP
Scholor,1951,Scholar,DICT_LOOKUP
Stone Mason,1895,Stonemason,DICT_LOOKUP
House Work,1826,Housework,DICT_LOOKUP
Scollar,1791,Scholar,DICT_LOOKUP
House Maid,1680,Housemaid,DICT_LOOKUP
Agrl Labourer,1592,Agricultural Labourer,DICT_LOOKUP
Cook-Domestic Servant,1451,Cook Domestic Servant,NORMALIZATION
Labourers Wife,1314,Labourer's Wife,DICT_LOOKUP
Machinest,1274,Machinist,DICT_LOOKUP
Agricultural Labour,1208,Agricultural Labourer,DICT_LOOKUP
Sholar,1185,Scholar,DICT_LOOKUP
Book Keeper,1164,Bookkeeper,DICT_LOOKUP
Gardner,1163,Gardener,DICT_LOOKUP
Cabinet Maker,1111,Cabinetmaker,DICT_LOOKUP
General Servant (Domestic),1055,General Domestic Servant,DICT_LOOKUP; NORMALIZATION
Weaver Linen,1037,Linen Weaver,DICT_LOOKUP
Shopman-Grocery,997,Shopman Grocery,NORMALIZATION
Mill Owners Wife,987,Mill Owner's Wife,DICT_LOOKUP
Post Man,978,Postman,DICT_LOOKUP
Builders Labourer,952,Builder's Labourer,DICT_LOOKUP
General Servt Domestic,942,General Domestic Servant,DICT_LOOKUP
Domestic Servant General,941,General Domestic Servant,DICT_LOOKUP
Agr Labourer,933,Agricultural Labourer,DICT_LOOKUP
Genl Labourer,898,General Labourer,DICT_LOOKUP
Labourer Agricultural,890,Agricultural Labourer,DICT_LOOKUP
Farmers Servant,820,Farmer's Servant,DICT_LOOKUP
Printer-Compositor,815,Printer Compositor,NORMALIZATION
Labourers Daughter,787,Labourer's Daughter,DICT_LOOKUP
Labourer Farm,756,Farm Labourer,DICT_LOOKUP
Lace Maker,720,Lacemaker,DICT_LOOKUP
Agricultural Laborer,705,Agricultural Labourer,DICT_LOOKUP
Domestic Servant Cook,697,Cook Domestic Servant,DICT_LOOKUP
Nurse-Domestic Servant,694,Nurse Domestic Servant,NORMALIZATION
Tin Smith,689,Tinsmith,DICT_LOOKUP
Servant-Domestic,675,Domestic Servant,DICT_LOOKUP; NORMALIZATION
Domestic General Servant,656,General Domestic Servant,DICT_LOOKUP
Domestic Servt,648,Domestic Servant,DICT_LOOKUP
Millworker,634,Mill Worker,DICT_LOOKUP
General Laborer,614,General Labourer,DICT_LOOKUP
Gen Labourer,589,General Labourer,DICT_LOOKUP
Brick Layer,559,Bricklayer,DICT_LOOKUP
Hair Dresser,552,Hairdresser,DICT_LOOKUP
Coach Man,542,Coachman,DICT_LOOKUP
Fisher Man,524,Fisherman,DICT_LOOKUP
Dress-Maker,521,Dressmaker,DICT_LOOKUP; NORMALIZATION
Labourers Son,518,Labourer's Son,DICT_LOOKUP
Grocers Porter,516,Grocer's Porter,DICT_LOOKUP
Farm Laborer,508,Farm Labourer,DICT_LOOKUP
G Labourer,502,General Labourer,DICT_LOOKUP
Agricl Labourer,482,Agricultural Labourer,DICT_LOOKUP
Genl Servant Domestic,473,General Domestic Servant,DICT_LOOKUP
Hous Keeper,457,Housekeeper,DICT_LOOKUP
Bar Maid,450,Barmaid,DICT_LOOKUP
General Servant - Domestic,432,General Domestic Servant,DICT_LOOKUP; NORMALIZATION
Farmers Mother,428,Farmer's Mother,DICT_LOOKUP
Labourer (General),426,General Labourer,DICT_LOOKUP; NORMALIZATION
House keeper,421,Housekeeper,DICT_LOOKUP
Schollars,415,Scholar,DICT_LOOKUP
HouseKeeper,399,Housekeeper,DICT_LOOKUP
Agricultural Labr,393,Agricultural Labourer,DICT_LOOKUP
Agriculture Labourer,389,Agricultural Labourer,DICT_LOOKUP
Agl. Labourer,388,Agricultural Labourer,DICT_LOOKUP
"General Servant, Domestic",384,General Domestic Servant,DICT_LOOKUP
Care Taker,371,Caretaker,DICT_LOOKUP
N.S. Teacher,346,National School Teacher,DICT_LOOKUP
Agrl. Labourer,336,Agricultural Labourer,DICT_LOOKUP
Cook Domestic Servt,330,Cook Domestic Servant,DICT_LOOKUP
Farmers Widow,327,Farmer's Widow,DICT_LOOKUP
Shop-Keeper,319,Shopkeeper,DICT_LOOKUP; NORMALIZATION
Station Master,308,Stationmaster,DICT_LOOKUP
Servant (Domestic),307,Domestic Servant,DICT_LOOKUP; NORMALIZATION
Gardiner,306,Gardener,DICT_LOOKUP
Gardner Domestic Servant,306,Gardener Domestic Servant,DICT_LOOKUP
Labourer (Farm),296,Farm Labourer,DICT_LOOKUP; NORMALIZATION
Labourer Quay,296,Quay Labourer,DICT_LOOKUP
Labourers,296,Labourer,DICT_LOOKUP
Labourer Agl,295,Agricultural Labourer,DICT_LOOKUP
Drapers Apprentice,293,Draper's Apprentice,DICT_LOOKUP
Ag Labourer,290,Agricultural Labourer,DICT_LOOKUP
Weaver (Linen),290,Linen Weaver,DICT_LOOKUP; NORMALIZATION
Box Maker,282,Boxmaker,DICT_LOOKUP
Labourer-General,279,General Labourer,DICT_LOOKUP; NORMALIZATION
Housemaid-Domestic Servant,275,Housemaid Domestic Servant,NORMALIZATION
Shoe-Maker,273,Shoemaker,DICT_LOOKUP; NORMALIZATION
Agr. Labourer,272,Agricultural Labourer,DICT_LOOKUP
Labourer Gen,270,General Labourer,DICT_LOOKUP
A Labourer,269,Agricultural Labourer,DICT_LOOKUP
Grocers Apprentice,268,Grocer's Apprentice,DICT_LOOKUP
Coachman-Domestic Servant,265,Coachman Domestic Servant,NORMALIZATION
D Servant,262,Domestic Servant,DICT_LOOKUP
Farmers Nephew,260,Farmer's Nephew,DICT_LOOKUP
House - Keeper,260,Housekeeper,DICT_LOOKUP; NORMALIZATION
Pensioner R.I.C,260,R.I.C. Pensioner,DICT_LOOKUP
Atending School,258,Attending School,DICT_LOOKUP
Farmers son,258,Farmer's Son,DICT_LOOKUP
Book-Keeper,257,Bookkeeper,DICT_LOOKUP; NORMALIZATION
Agricul Labourer,254,Agricultural Labourer,DICT_LOOKUP
Brush Maker,251,Brushmaker,DICT_LOOKUP
Shop Keeper and Farmer,249,Shopkeeper and Farmer,DICT_LOOKUP
General-Domestic Servant,248,General Domestic Servant,NORMALIZATION
Labourer Wife,241,Labourer's Wife,DICT_LOOKUP
Dressmaking,233,Dressmaker,DICT_LOOKUP
Scoller,233,Scholar,DICT_LOOKUP
Ship Wright,232,Shipwright,DICT_LOOKUP
Soldiers Wife,232,Soldier's Wife,DICT_LOOKUP
Farmers Niece,230,Farmer's Niece,DICT_LOOKUP
Farm-Servant,222,Farm Servant,NORMALIZATION
Genl Servt Domestic,220,General Domestic Servant,DICT_LOOKUP
Gl Labourer,218,General Labourer,DICT_LOOKUP
Laborour,217,Labourer,DICT_LOOKUP
Labourer Dock,217,Dock Labourer,DICT_LOOKUP
Watch Maker,216,Watchmaker,DICT_LOOKUP
Labouer,212,Labourer,DICT_LOOKUP
Char-Woman,210,Char Woman,NORMALIZATION
General Domestic Servt,210,General Domestic Servant,DICT_LOOKUP
Store Keeper,210,Storekeeper,DICT_LOOKUP
Agric Labourer,206,Agricultural Labourer,DICT_LOOKUP
N. S. Teacher,206,National School Teacher,DICT_LOOKUP
Domestic Servant (General),205,General Domestic Servant,DICT_LOOKUP; NORMALIZATION
Laberour,203,Labourer,DICT_LOOKUP
Solicitors Clerk,202,Solicitor's Clerk,DICT_LOOKUP
House Keeper at Home,199,Housekeeper at Home,DICT_LOOKUP
Gate Keeper,196,Gatekeeper,DICT_LOOKUP
Post Mistress,195,Postmistress,DICT_LOOKUP
N S Teacher,191,National School Teacher,DICT_LOOKUP
Shop-Assistant,187,Shop Assistant,NORMALIZATION
Seamstres,184,Seamstress,DICT_LOOKUP
Agricult Labourer,182,Agricultural Labourer,DICT_LOOKUP
News Agent,182,Newsagent,DICT_LOOKUP
Shepherds Daughter,180,Shepherd's Daughter,DICT_LOOKUP
Scohlar,178,Scholar,DICT_LOOKUP
Genl Servant,176,General Servant,DICT_LOOKUP
Farmers Daughter in Law,175,Farmer's Daughter in Law,DICT_LOOKUP
Gardener-Domestic Servant,175,Gardener Domestic Servant,NORMALIZATION
Agricultural Lab,173,Agricultural Labourer,DICT_LOOKUP
Cook - Domestic Servant,171,Cook Domestic Servant,NORMALIZATION
Natl Teacher,171,National Teacher,DICT_LOOKUP
Gen Servant Domestic,170,General Domestic Servant,DICT_LOOKUP
School Mistress,167,Schoolmistress,DICT_LOOKUP
Shepherds Son,165,Shepherd's Son,DICT_LOOKUP
Cook-Domestic,163,Cook Domestic,NORMALIZATION
Farmers Daught,163,Farmer's Daughter,DICT_LOOKUP
Farmers Grand Son,161,Farmer's Grandson,DICT_LOOKUP
Herds Daughter,161,Herd's Daughter,DICT_LOOKUP
Masons Labourer,161,Mason's Labourer,DICT_LOOKUP
Farm Servt,157,Farm Servant,DICT_LOOKUP
Farmers Labourer,157,Farmer's Labourer,DICT_LOOKUP
Scholler,157,Scholar,DICT_LOOKUP
Coach Maker,156,Coachmaker,DICT_LOOKUP
Semstress,156,Seamstress,DICT_LOOKUP
Scholors,153,Scholar,DICT_LOOKUP
General Servt-Domestic,152,General Domestic Servant,DICT_LOOKUP; NORMALIZATION
