occupation,count,corrected_occupation,change_category
Scholar,816605,Scholar,STANDARD
Farmer,390214,Farmer,STANDARD
Farmer's Son,80356,Farmer's Son,STANDARD
Labourer,71575,Labourer,STANDARD
Agricultural Labourer,70987,Agricultural Labourer,STANDARD
Farm Servant,67241,Farm Servant,STANDARD
Farmer's Daughter,57494,Farmer's Daughter,STANDARD
Housekeeper,54768,Housekeeper,STANDARD
General Labourer,53892,General Labourer,STANDARD
Seamstress,42818,Seamstress,STANDARD
Domestic Servant,42402,Domestic Servant,STANDARD
Farm Labourer,36238,Farm Labourer,STANDARD
Dressmaker,26824,Dressmaker,STANDARD
Servant,22391,Servant,STANDARD
Carpenter,18695,Carpenter,STANDARD
General Servant,17232,General Servant,STANDARD
Pupil,15575,Pupil,UNCHANGED
Farmer's Wife,15005,Farmer's Wife,STANDARD
No Occupation,14408,No Occupation,STANDARD
Shop Assistant,14400,Shop Assistant,STANDARD
Linen Weaver,12974,Linen Weaver,STANDARD
Tailor,11225,Tailor,STANDARD
Retired Farmer,8401,Retired Farmer,STANDARD
Fisherman,8119,Fisherman,STANDARD
Clerk,7604,Clerk,STANDARD
Laundress,7422,Laundress,STANDARD
Infant,7377,Infant,STANDARD
Nil,7300,Nil,STANDARD
Blacksmith,6763,Blacksmith,STANDARD
Baker,6382,Baker,UNCHANGED
Shoemaker,6132,Shoemaker,STANDARD
Attending School,6045,Attending School,STANDARD
School,5778,School,UNCHANGED
At School,5504,At School,STANDARD
General Domestic Servant,5452,General Domestic Servant,STANDARD
Wife,5349,Wife,STANDARD
Grocer,5313,Grocer,UNCHANGED
Cook Domestic Servant,4665,Cook Domestic Servant,STANDARD
Shepherd,4553,Shepherd,UNCHANGED
Charwoman,4200,Charwoman,STANDARD
Student,4101,Student,UNCHANGED
Milliner,4032,Milliner,STANDARD
Publican,4020,Publican,UNCHANGED
School Boy,3996,School Boy,STANDARD
Assistant,3946,Assistant,UNCHANGED
Teacher,3941,Teacher,UNCHANGED
Mill Worker,3838,Mill Worker,STANDARD
Housewife,3804,Housewife,STANDARD
Painter,3733,Painter,STANDARD
Draper,3726,Draper,UNCHANGED
Shopkeeper,3699,Shopkeeper,STANDARD
Butcher,3529,Butcher,STANDARD
National Teacher,3460,National Teacher,STANDARD
Nurse,3378,Nurse,STANDARD
Gardener,3307,Gardener,STANDARD
Cook,3297,Cook,UNCHANGED
Mason,3189,Mason,UNCHANGED
Herd,3185,Herd,UNCHANGED
Dealer,2994,Dealer,UNCHANGED
Carter,2991,Carter,UNCHANGED
Cattle Dealer,2931,Cattle Dealer,STANDARD
Farmer Wife,2927,Farmer Wife,STANDARD
Car Driver,2768,Car Driver,STANDARD
Weaver,2765,Weaver,UNCHANGED
Farmer's Sister,2745,Farmer's Sister,STANDARD
School Girl,2712,School Girl,STANDARD
Railway Porter,2654,Railway Porter,STANDARD
Cooper,2618,Cooper,UNCHANGED
Groom,2569,Groom,UNCHANGED
Coachman,2453,Coachman,STANDARD
Postman,2412,Postman,STANDARD
Domestic,2398,Domestic,UNCHANGED
Machinist,2387,Machinist,STANDARD
Messenger,2380,Messenger,UNCHANGED
No Business,2366,No Business,STANDARD
Farming,2338,Farming,UNCHANGED
Child,2310,Child,UNCHANGED
Caretaker,2276,Caretaker,STANDARD
House Painter,2212,House Painter,STANDARD
Tailoress,2201,Tailoress,UNCHANGED
Bricklayer,2163,Bricklayer,STANDARD
Sailor,2078,Sailor,STANDARD
Flax Spinner,2073,Flax Spinner,STANDARD
Plumber,2022,Plumber,STANDARD
Spinner,2003,Spinner,UNCHANGED
School Teacher,1984,School Teacher,STANDARD
Farmers,1920,Farmers,UNCHANGED
Cambric Weaver,1901,Cambric Weaver,STANDARD
Nurse Domestic Servant,1890,Nurse Domestic Servant,STANDARD
Plasterer,1885,Plasterer,UNCHANGED
Damask Weaver,1870,Damask Weaver,STANDARD
Labourer's Wife,1865,Labourer's Wife,STANDARD
Army Pensioner,1822,Army Pensioner,STANDARD
National School Teacher,1743,National School Teacher,STANDARD
Daughter,1735,Daughter,UNCHANGED
House Keeping,1686,House Keeping,STANDARD
Flax Dresser,1680,Flax Dresser,STANDARD
Spinster,1671,Spinster,UNCHANGED
Draper's Assistant,1666,Draper's Assistant,STANDARD
Joiner,1649,Joiner,UNCHANGED
Van Driver,1621,Van Driver,STANDARD
Merchant,1597,Merchant,UNCHANGED
Governess,1556,Governess,UNCHANGED
Yarn Winder,1514,Yarn Winder,STANDARD
Factory Worker,1495,Factory Worker,STANDARD
General Labour,1494,General Labour,STANDARD
Stone Cutter,1494,Stone Cutter,STANDARD
Knitter,1477,Knitter,UNCHANGED
Railway Labourer,1468,Railway Labourer,STANDARD
Wool Weaver,1455,Wool Weaver,STANDARD
Son,1424,Son,UNCHANGED
Quay Labourer,1421,Quay Labourer,STANDARD
Apprentice,1415,Apprentice,STANDARD
Going to School,1406,Going to School,UNCHANGED
Message Boy,1390,Message Boy,STANDARD
Sister of Mercy,1383,Sister of Mercy,STANDARD
Embroiderer,1379,Embroiderer,STANDARD
Retired Labourer,1358,Retired Labourer,STANDARD
No Profession,1331,No Profession,STANDARD
Confectioner,1312,Confectioner,UNCHANGED
Accountant,1309,Accountant,UNCHANGED
Dock Labourer,1293,Dock Labourer,STANDARD
Farmer Servant,1289,Farmer Servant,STANDARD
Solicitor,1287,Solicitor,UNCHANGED
Shirt Maker,1283,Shirt Maker,STANDARD
Visitor,1250,Visitor,UNCHANGED
Char Woman,1227,Char Woman,STANDARD
Linnen Weaver,1225,Linnen Weaver,STANDARD
Porter,1224,Porter,UNCHANGED
Housemaid,1222,Housemaid,STANDARD
Housemaid Domestic Servant,1213,Housemaid Domestic Servant,STANDARD
Coachman Domestic Servant,1198,Coachman Domestic Servant,STANDARD
Farmer's Brother,1190,Farmer's Brother,STANDARD
Victualler,1173,Victualler,UNCHANGED
Commercial Clerk,1144,Commercial Clerk,STANDARD
Musician,1143,Musician,UNCHANGED
Lady,1142,Lady,UNCHANGED
Spirit Dealer,1141,Spirit Dealer,STANDARD
Gardener Domestic Servant,1138,Gardener Domestic Servant,STANDARD
Farmeress,1135,Farmeress,UNCHANGED
Smoother,1129,Smoother,UNCHANGED
At Home,1123,At Home,STANDARD
Farmer and Cattle Dealer,1120,Farmer and Cattle Dealer,STANDARD
Farmer and Shoemaker,1116,Farmer and Shoemaker,STANDARD
Saddler,1093,Saddler,UNCHANGED
