occupation,count,corrected_occupation_1,change_category
Scholars,33357,Scholar,DICT_LOOKUP
Schollar,5571,Scholar,DICT_LOOKUP
Schoolar,4214,Scholar,DICT_LOOKUP
Scolar,4056,Scholar,DICT_LOOKUP
Scholor,1951,Scholar,DICT_LOOKUP
Scollar,1791,Scholar,DICT_LOOKUP
Sholar,1185,Scholar,DICT_LOOKUP
Scholer,430,Scholar,DICT_LOOKUP
Schollars,415,Scholar,DICT_LOOKUP
Schoolars,320,Scholar,DICT_LOOKUP
Scoller,233,Scholar,DICT_LOOKUP
Scolars,220,Scholar,DICT_LOOKUP
Scohlar,178,Scholar,DICT_LOOKUP
Scholler,157,Scholar,DICT_LOOKUP
Scholors,153,Scholar,DICT_LOOKUP
Scollars,137,Scholar,DICT_LOOKUP
Sholars,117,Scholar,DICT_LOOKUP
Scholers,93,Scholar,DICT_LOOKUP
Schlor,81,Scholar,DICT_LOOKUP
Scollor,77,Scholar,DICT_LOOKUP
Shollar,70,Scholar,DICT_LOOKUP
Sclolar,67,Scholar,DICT_LOOKUP
Scoholar,63,Scholar,DICT_LOOKUP
Scholare,61,Scholar,DICT_LOOKUP
Scholour,58,Scholar,DICT_LOOKUP
Schlar,53,Scholar,DICT_LOOKUP
Schalor,50,Scholar,DICT_LOOKUP
Shool,50,Scholar,DICT_LOOKUP
Scholl,49,Scholar,DICT_LOOKUP
Sholor,40,Scholar,DICT_LOOKUP
Schol,38,Scholar,DICT_LOOKUP
Schloar,35,Scholar,DICT_LOOKUP
Scholoar,35,Scholar,DICT_LOOKUP
Scoolar,35,Scholar,DICT_LOOKUP
Scolour,34,Scholar,DICT_LOOKUP
Shoolar,34,Scholar,DICT_LOOKUP
Scolor,31,Scholar,DICT_LOOKUP
Shcolar,31,Scholar,DICT_LOOKUP
Schoolor,29,Scholar,DICT_LOOKUP
At Schoolar,23,Scholar,DICT_LOOKUP
Scoholars,22,Scholar,DICT_LOOKUP
SCholars,1,Scholar,DICT_LOOKUP
ScholarS,1,Scholar,DICT_LOOKUP
