occupation,count,corrected_occupation,change_category,unknown_words,suggested_occupation
Houskeeper,554,Houskeeper,UNCHANGED,Houskeeper,Housekeeper
Landress,341,Landress,UNCHANGED,Landress,Laundress
Machenist,220,Machenist,UNCHANGED,Machenist,Machinist
Farm Servent,184,Farm Servent,UNCHANGED,Servent,Farm Servant
Famer,174,Famer,UNCHANGED,Famer,Farmer
Cholar,170,Cholar,UNCHANGED,Cholar,Scholar
General Labouer,165,General Labouer,STANDARD,Labouer,General Labourer
Shephard,153,Shephard,UNCHANGED,Shephard,Shepherd
Agricultural Laboure,151,Agricultural Laboure,UNCHANGED,Laboure,Agricultural Labourer
Laboure,117,Laboure,UNCHANGED,Laboure,Labourer
General Laboure,114,General Laboure,UNCHANGED,Laboure,General Labourer
Servent,100,Servent,UNCHANGED,Servent,Servant
Millener,95,Millener,UNCHANGED,Millener,Milliner
Machinst,89,Machinst,UNCHANGED,Machinst,Machinist
Farm Labouer,86,Farm Labouer,UNCHANGED,Labouer,Farm Labourer
Labouror,86,Labouror,UNCHANGED,Labouror,Labourer
Schalar,86,Schalar,UNCHANGED,Schalar,Scholar
Dresmaker,85,Dresmaker,UNCHANGED,Dresmaker,Dressmaker
No Proffession,83,No Proffession,UNCHANGED,Proffession,No Profession
Hem Sticher,77,Hem Sticher,STANDARD,Sticher,Hem Stitcher
Schollor,76,Schollor,UNCHANGED,Schollor,Scholar
Samstress,74,Samstress,UNCHANGED,Samstress,Seamstress
Semster,72,Semster,UNCHANGED,Semster,Seamster
General Labourerr,71,General Labourerr,UNCHANGED,Labourerr,General Labourer
Farm Laboure,68,Farm Laboure,UNCHANGED,Laboure,Farm Labourer
Sheppard,64,Sheppard,UNCHANGED,Sheppard,Shepherd
Sheperd,60,Sheperd,UNCHANGED,Sheperd,Shepherd
Boot Machinest,58,Boot Machinest,STANDARD,Machinest,Boot Machinist
No Ocupation,57,No Ocupation,UNCHANGED,Ocupation,No Occupation
Intrest of Money,55,Intrest of Money,UNCHANGED,Intrest,Interest of Money
Labourer Genrl,52,Labourer Genrl,STANDARD,Genrl,Labourer Genl
Labourer Agricl,50,Labourer Agricl,STANDARD,Agricl,Labourer Agric
Barsmaid,46,Barsmaid,UNCHANGED,Barsmaid,Barmaid
General Svt Domestic,45,General Svt Domestic,STANDARD,Svt,General St Domestic
Labourer Agricul,45,Labourer Agricul,STANDARD,Agricul,Labourer Agric
Lenen Weaver,45,Lenen Weaver,UNCHANGED,Lenen,Linen Weaver
Parlor Maid,45,Parlor Maid,STANDARD,Parlor,Parlour Maid
Farmar,43,Farmar,UNCHANGED,Farmar,Farmer
General Sevt Domestic,42,General Sevt Domestic,STANDARD,Sevt,General Sert Domestic
Quary Labourer,42,Quary Labourer,UNCHANGED,Quary,Quay Labourer
Lauborer,41,Lauborer,UNCHANGED,Lauborer,Labourer
Attending Scool,40,Attending Scool,UNCHANGED,Scool,Attending School
Labourer Gnl,40,Labourer Gnl,STANDARD,Gnl,Labourer Genl
Farm Laberour,39,Farm Laberour,UNCHANGED,Laberour,Farm Labour
Farm Servan,39,Farm Servan,UNCHANGED,Servan,Farm Servant
Agracultural Labourer,37,Agracultural Labourer,UNCHANGED,Agracultural,Agricultural Labourer
Commercial Traveler,37,Commercial Traveler,UNCHANGED,Traveler,Commercial Traveller
Parlor Maid Domestic Servant,37,Parlor Maid Domestic Servant,STANDARD,Parlor,Parlour Maid Domestic Servant
Housekepper,36,Housekepper,UNCHANGED,Housekepper,Housekeeper
Gardiner Domestic Servant,35,Gardiner Domestic Servant,STANDARD,Gardiner,Gardener Domestic Servant
Harnes Maker,35,Harnes Maker,STANDARD,Harnes,Harness Maker
Cotten Weaver,34,Cotten Weaver,UNCHANGED,Cotten,Cotton Weaver
Labourer Agl.,34,Labourer Agl.,STANDARD,Agl,Labourer Agr.
Seamstrees,34,Seamstrees,UNCHANGED,Seamstrees,Seamstress
Talior,34,Talior,UNCHANGED,Talior,Tailor
At Scool,33,At Scool,UNCHANGED,Scool,At School
Cook Domestic Svt,33,Cook Domestic Svt,STANDARD,Svt,Cook Domestic St
Seimstress,33,Seimstress,UNCHANGED,Seimstress,Seamstress
Brewry Labourer,32,Brewry Labourer,UNCHANGED,Brewry,Brewery Labourer
Carpentor,32,Carpentor,UNCHANGED,Carpentor,Carpenter
Commerical Clerk,32,Commerical Clerk,UNCHANGED,Commerical,Commercial Clerk
Farme's Son,32,Farme's Son,UNCHANGED,Farme's,Farmer's Son
General Laburer,32,General Laburer,UNCHANGED,Laburer,General Labourer
Shop Assitant,32,Shop Assitant,UNCHANGED,Assitant,Shop Assistant
Farme,31,Farme,UNCHANGED,Farme,Farmer
Printer Compositer,31,Printer Compositer,STANDARD,Compositer,Printer Compositor
Tennant Farmer,31,Tennant Farmer,UNCHANGED,Tennant,Tenant Farmer
Linnin Weaver,30,Linnin Weaver,UNCHANGED,Linnin,Linnen Weaver
Farner,29,Farner,UNCHANGED,Farner,Farmer
Intrest on Money,29,Intrest on Money,UNCHANGED,Intrest,Interest on Money
Leabourer,29,Leabourer,UNCHANGED,Leabourer,Labourer
Shepperd,29,Shepperd,UNCHANGED,Shepperd,Shepherd
Comercial Traveller,28,Comercial Traveller,UNCHANGED,Comercial,Commercial Traveller
Samster,28,Samster,UNCHANGED,Samster,Seamster
Farm Laburer,27,Farm Laburer,UNCHANGED,Laburer,Farm Labourer
Farmer's Daugter,27,Farmer's Daugter,UNCHANGED,Daugter,Farmer's Daughter
Flax Spiner,27,Flax Spiner,UNCHANGED,Spiner,Flax Spinner
Houswife,27,Houswife,UNCHANGED,Houswife,Housewife
Seamstess,27,Seamstess,UNCHANGED,Seamstess,Seamstress
Agrictural Labourer,26,Agrictural Labourer,UNCHANGED,Agrictural,Agricultural Labourer
Agricultural Labrourer,26,Agricultural Labrourer,UNCHANGED,Labrourer,Agricultural Labourer
Agricultural Laburer,26,Agricultural Laburer,UNCHANGED,Laburer,Agricultural Labourer
Farmer's Daughte,26,Farmer's Daughte,UNCHANGED,Daughte,Farmer's Daughter
Genral Servant,26,Genral Servant,UNCHANGED,Genral,General Servant
Millinar,25,Millinar,UNCHANGED,Millinar,Milliner
Scholr,25,Scholr,UNCHANGED,Scholr,Scholar
Agricultual Labourer,24,Agricultual Labourer,STANDARD,Agricultual,Agricultural Labourer
Agricultura Labourer,24,Agricultura Labourer,UNCHANGED,Agricultura,Agricultural Labourer
Agriculturl Labourer,24,Agriculturl Labourer,UNCHANGED,Agriculturl,Agricultural Labourer
Camberick Weaver,24,Camberick Weaver,UNCHANGED,Camberick,Cambrick Weaver
Cooke Domestic Servant,24,Cooke Domestic Servant,STANDARD,Cooke,Cook Domestic Servant
Domestic Servan,24,Domestic Servan,UNCHANGED,Servan,Domestic Servant
Farme's Daughter,24,Farme's Daughter,UNCHANGED,Farme's,Farmer's Daughter
Horse Trainor,24,Horse Trainor,UNCHANGED,Trainor,Horse Trainer
Seamstriss,24,Seamstriss,UNCHANGED,Seamstriss,Seamstress
Farmes Wife,23,Farmes Wife,UNCHANGED,Farmes,Farmer Wife
Housekeepe,23,Housekeepe,UNCHANGED,Housekeepe,Housekeeper
Husekeeper,23,Husekeeper,UNCHANGED,Husekeeper,Housekeeper
Pedlor,23,Pedlor,UNCHANGED,Pedlor,Pedlar
Scholard,23,Scholard,UNCHANGED,Scholard,Scholar
Telegraph Messanger,23,Telegraph Messanger,UNCHANGED,Messanger,Telegraph Messenger
Cochman,22,Cochman,UNCHANGED,Cochman,Coachman
Damash Weaver,22,Damash Weaver,UNCHANGED,Damash,Damask Weaver
Domestice Servant,22,Domestice Servant,UNCHANGED,Domestice,Domestic Servant
Machine Sticher,22,Machine Sticher,UNCHANGED,Sticher,Machine Stitcher
Shipherd,22,Shipherd,UNCHANGED,Shipherd,Shepherd
Agricultrl Labourer,21,Agricultrl Labourer,STANDARD,Agricultrl,Agricultural Labourer
Cartaker,21,Cartaker,UNCHANGED,Cartaker,Caretaker
House Buisness,21,House Buisness,UNCHANGED,Buisness,House Business
Housemaid Domestic Sevt,21,Housemaid Domestic Sevt,STANDARD,Sevt,Housemaid Domestic Sert
Infint,21,Infint,UNCHANGED,Infint,Infant
Machnist,21,Machnist,UNCHANGED,Machnist,Machinist
Printer-Compositer,21,Printer Compositer,NORMALIZATION,Compositer,Printer Compositor
Comercial Clerk,20,Comercial Clerk,UNCHANGED,Comercial,Commercial Clerk
Dary Maid,20,Dary Maid,UNCHANGED,Dary,Dairy Maid
Domestic Servat,20,Domestic Servat,UNCHANGED,Servat,Domestic Servant
Fawl Dealer,20,Fawl Dealer,UNCHANGED,Fawl,Fowl Dealer
General Serveant,20,General Serveant,UNCHANGED,Serveant,General Servant
Hosekeeper,20,Hosekeeper,UNCHANGED,Hosekeeper,Housekeeper
Labiourer,20,Labiourer,UNCHANGED,Labiourer,Labourer
Ladys Nurse,20,Ladys Nurse,UNCHANGED,Ladys,Lady Nurse
Linen Wever,20,Linen Wever,UNCHANGED,Wever,Linen Weaver
Schoollar,20,Schoollar,UNCHANGED,Schoollar,Scholar
Seamester,20,Seamester,UNCHANGED,Seamester,Seamster
Agricultular Labourer,19,Agricultular Labourer,UNCHANGED,Agricultular,Agricultural Labourer
Aricultural Labourer,19,Aricultural Labourer,STANDARD,Aricultural,Agricultural Labourer
Boatmaker,19,Boatmaker,UNCHANGED,Boatmaker,Bootmaker
Embroidrer,19,Embroidrer,UNCHANGED,Embroidrer,Embroiderer
General Servant Domt,19,General Servant Domt,UNCHANGED,Domt,General Servant Dom
Messege Boy,19,Messege Boy,UNCHANGED,Messege,Message Boy
Servant Domest,19,Servant Domest,STANDARD,Domest,Servant Domes
Sheepherd,19,Sheepherd,UNCHANGED,Sheepherd,Shepherd
Shop Asistant,19,Shop Asistant,UNCHANGED,Asistant,Shop Assistant
Shop Assisant,19,Shop Assisant,STANDARD,Assisant,Shop Assistant
Woolen Spinner,19,Woolen Spinner,UNCHANGED,Woolen,Woollen Spinner
Argricultural Labourer,18,Argricultural Labourer,UNCHANGED,Argricultural,Agricultural Labourer
At Scholl,18,At Scholl,UNCHANGED,Scholl,At School
Bucher,18,Bucher,UNCHANGED,Bucher,Butcher
Domask Weaver,18,Domask Weaver,UNCHANGED,Domask,Damask Weaver
General Servant Domc,18,General Servant Domc,STANDARD,Domc,General Servant Dom
Generl Labourer,18,Generl Labourer,STANDARD,Generl,General Labourer
No Occuption,18,No Occuption,UNCHANGED,Occuption,No Occupation
Reller Flax,18,Reller Flax,UNCHANGED,Reller,Reeler Flax
