occupation,count,corrected_occupation,change_category,unknown_words,suggested_occupation
Linnen Weaver,1225,Linnen Weaver,UNCHANGED,Linnen,Linten Weaver
Houskeeper,554,Houskeeper,UNCHANGED,Houskeeper,Housekeeper
Scholer,430,Scholer,UNCHANGED,Scholer,Choler
Agril Labourer,410,Agril Labourer,UNCHANGED,Agril,Agrin Labourer
Landress,341,Landress,UNCHANGED,Landress,Laundress
Labourer Agrl,336,Labourer Agrl,UNCHANGED,Agrl,Labourer Agre
Constable R.I.C,324,Constable R.I.C,UNCHANGED,R.I.C,Constable Ric
Schoolars,320,Schoolars,UNCHANGED,Schoolars,Schoolers
Hemsticher,268,Hemsticher,UNCHANGED,Hemsticher,Hemstitcher
Pensioner R.I.C,260,R.I.C. Pensioner,DICT_LOOKUP,R.I.C,Ric. Pensioner
R.I.C. Pensioner,251,R.I.C. Pensioner,UNCHANGED,R.I.C,Ric. Pensioner
R.I.C Pensioner,248,R.I.C Pensioner,UNCHANGED,R.I.C,Ric Pensioner
Rivetter,247,Rivetter,UNCHANGED,Rivetter,Riveter
Railway Milesman,225,Railway Milesman,UNCHANGED,Milesman,Railway Milesian
Sticher,223,Sticher,UNCHANGED,Sticher,Stitcher
Machenist,220,Machenist,UNCHANGED,Machenist,Machinist
Scolars,220,Scolars,UNCHANGED,Scolars,Escolars
Nailor,198,Nailor,UNCHANGED,Nailor,Sailor
Cambrick Weaver,197,Cambrick Weaver,UNCHANGED,Cambrick,Cambric Weaver
Licensed Publican,186,Licensed Publican,UNCHANGED,Licensed,Licenced Publican
Farm Servent,184,Farm Servent,UNCHANGED,Servent,Farm Serment
Famer,174,Famer,UNCHANGED,Famer,Gamer
Flaxdresser,172,Flaxdresser,UNCHANGED,Flaxdresser,Flaxdresser
Cholar,170,Cholar,UNCHANGED,Cholar,Cholam
General Labouer,165,General Labouer,UNCHANGED,Labouer,General Labourer
Parlourmaid Domestic Servant,164,Parlourmaid Domestic Servant,UNCHANGED,Parlourmaid,Parlormaid Domestic Servant
Farmes Son,163,Farmes Son,UNCHANGED,Farmes,Farmers Son
Woolen Weaver,162,Woolen Weaver,UNCHANGED,Woolen,Coolen Weaver
Samestress,160,Samestress,UNCHANGED,Samestress,Gamestress
Shephard,153,Shephard,UNCHANGED,Shephard,Shepherd
Agricultural Laboure,151,Agricultural Laboure,UNCHANGED,Laboure,Agricultural Labourer
Scollars,137,Scollars,UNCHANGED,Scollars,Collars
Cardriver,129,Cardriver,UNCHANGED,Cardriver,Cabdriver
Constable R.I.C.,128,Constable R.I.C.,UNCHANGED,R.I.C,Constable Ric.
Farmservant,120,Farmservant,UNCHANGED,Farmservant,Farmservant
House Keper,120,House Keper,UNCHANGED,Keper,House Keeper
Bookfolder,118,Bookfolder,UNCHANGED,Bookfolder,Bookholder
Laboure,117,Laboure,UNCHANGED,Laboure,Labourer
Farmers Daugh,115,Farmers Daugh,UNCHANGED,Daugh,Farmers Augh
General Laboure,114,General Laboure,UNCHANGED,Laboure,General Labourer
Farmer's Daught,111,Farmer's Daught,UNCHANGED,Daught,Farmer's Aught
Farmerswife,111,Farmerswife,UNCHANGED,Farmerswife,Farmerswife
Launderess,109,Launderess,UNCHANGED,Launderess,Laundress
Messanger,109,Messanger,UNCHANGED,Messanger,Messenger
Harnessmaker,108,Harnessmaker,UNCHANGED,Harnessmaker,Harnessmaker
House Kepper,108,House Kepper,UNCHANGED,Kepper,House Hepper
Farmes Daughter,107,Farmes Daughter,UNCHANGED,Farmes,Farmers Daughter
Pensioner R.I.C.,107,R.I.C. Pensioner,DICT_LOOKUP,R.I.C,Ric. Pensioner
Breadserver,105,Breadserver,UNCHANGED,Breadserver,Breadseller
Servent,100,Servent,UNCHANGED,Servent,Serment
Plumber and Gasfitter,99,Plumber and Gasfitter,UNCHANGED,Gasfitter,Plumber and Gasfitter
Landsteward,97,Landsteward,UNCHANGED,Landsteward,Landsteward
Waiteress,96,Waiteress,UNCHANGED,Waiteress,Waitress
Farmers Daug,95,Farmers Daug,UNCHANGED,Daug,Farmers Darg
Millener,95,Millener,UNCHANGED,Millener,Milliner
Scholers,93,Scholers,UNCHANGED,Scholers,Schoolers
Settmaker,92,Settmaker,UNCHANGED,Settmaker,Saltmaker
General Servant Domest,89,General Servant Domest,UNCHANGED,Domest,General Servant Doment
Machinst,89,Machinst,UNCHANGED,Machinst,Machinist
