firstNameCap,count
MARY,445391
JOHN,335455
JAMES,215322
PATRICK,194499
THOMAS,162606
BRIDGET,152056
WILLIAM,149062
MICHAEL,137667
MARGARET,125922
ELLEN,103889
CATHERINE,86978
ANNIE,73715
KATE,70196
ANNE,70170
SARAH,69469
MAGGIE,58323
ELIZABETH,57609
JOSEPH,53717
JANE,53285
ROBERT,52736
EDWARD,45562
LIZZIE,38352
ELIZA,37550
DANIEL,34507
PETER,33695
JULIA,30087
GEORGE,29769
MARTIN,27164
FRANCIS,27128
ROSE,26177
SAMUEL,25905
HUGH,25140
CHARLES,24244
DAVID,24077
RICHARD,24068
HENRY,23022
DENIS,22886
HANNAH,21250
AGNES,20820
ALICE,20750
MARGRET,19370
TIMOTHY,18426
M,18109
J,18034
MARIA,17984
ANDREW,17914
JOHANNA,17593
KATIE,17465
SUSAN,17198
MARTHA,16681
NORAH,16187
BERNARD,16084
PAT,13461
ALEXANDER,12823
ISABELLA,12782
JEREMIAH,12480
ANN,11717
NORA,11521
MINNIE,11236
WM,10122
ELLIE,10113
OWEN,9863
KATHLEEN,9332
ARTHUR,8673
TERESA,8261
CHRISTOPHER,8222
CORNELIUS,8097
EMILY,7557
PHILIP,7435
MATTHEW,7307
MAURICE,7207
EDMOND,7049
MATHEW,7042
FRANCES,6987
ANNA,6865
W,6552
LAURENCE,6357
MATILDA,6323
STEPHEN,6278
E,6234
FLORENCE,6152
DELIA,6072
A,6064
P,5989
REBECCA,5769
MAY,5757
THOS,5692
NICHOLAS,5528
CATHRINE,5385
MICHL,5338
PATT,5248
ANTHONY,5194
HANORA,5137
FRANK,5127
CHRISTINA,5076
WALTER,5075
NELLIE,5068
WILLIE,4905
HONOR,4896
T,4886
FANNY,4788
PATK,4700
CHARLOTTE,4648
MARGT,4428
MICHEAL,4320
RACHEL,4270
JOSEPHINE,4247
WINIFRED,4247
EDITH,4229
C,4047
DAN,3995
BESSIE,3977
HELENA,3951
ESTHER,3947
ALBERT,3739
HANORIA,3686
HANNA,3683
BELLA,3623
ALFRED,3556
LAWRENCE,3415
H,3388
B,3374
MARGET,3312
TERENCE,3312
GRACE,3269
R,3196
EMMA,3115
MAUD,3101
EUGENE,3087
FREDERICK,3065
LUCY,3040
NANCY,3020
MARYANNE,3018
CATHERIN,2855
TOM,2847
LOUISA,2759
S,2661
CASSIE,2641
ETHEL,2604
LUKE,2555
ELEANOR,2507
LILLIE,2371
SARA,2361
HERBERT,2341
KATHERINE,2338
LETITIA,2293
HONORIA,2281
I,2255
F,2213
CAROLINE,2189
D,2176
LILLY,2149
