name,gender,frequency,frequency_ew_new,frequency_ni,frequency_scot,frequency_us_vic,frequency_us_ed,frequency_us_bs,frequency_us_wwi,frequency_us_it,frequency_us_bsii,frequency_us_wwii,frequency_us_post,nameBCenterMatch,nameBWizMatch,nameBehindMatch,nameMatch,soundex
-------,1,0,4,0,0,0,0,0,0,0,0,0,0,False,False,False,False,
---------,1,0,4,0,0,0,0,0,0,0,0,0,0,False,False,False,False,
A'ISHA,1,0,4,0,0,0,0,0,0,0,0,0,0,False,False,True,False,
A'ISHAH,1,0,11,0,4,0,0,0,0,0,0,0,0,False,False,False,False,
A.J.,0,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,
AA'ISHAH,1,0,6,0,0,0,0,0,0,0,0,0,0,False,False,False,False,
AABID,0,0,8,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A130
AADAM,0,0,202,0,13,0,0,0,0,0,0,0,0,False,False,False,False,A350
AADIL,0,0,154,0,10,0,0,0,0,0,0,0,0,False,False,False,False,A340
AADITYA,0,0,6,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A330
AAGE,0,0,0,0,0,0,0,7,0,0,0,0,0,False,True,True,True,A200
AAGOT,1,0,0,0,0,0,0,5,0,0,0,0,0,False,False,False,False,A230
AAISHA,1,0,101,0,13,0,0,0,0,0,0,0,0,False,False,False,False,A200
AAISHAH,1,0,39,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A200
AAKASH,0,0,47,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A220
AAKIFAH,1,0,23,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A210
AALA,1,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A400
AALAA,1,0,0,0,4,0,0,0,0,0,0,0,0,False,False,False,False,A400
AALIA,1,0,43,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A400
AALIAH,1,0,21,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A400
AALISHA,1,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A420
AALIYA,1,0,61,0,0,0,0,0,0,0,0,0,0,False,True,False,False,A400
AALIYAH,1,0,568,0,3,0,0,0,0,0,0,0,0,False,True,True,True,A400
AAMAN,0,0,7,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A550
AAMAR,0,0,3,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A560
AAMENA,1,0,33,0,0,0,0,0,0,0,0,0,0,False,False,False,False,A550
