NAME,count
AADAM,1461
AARAN,429
AARON,35569
AARONDEEP,77
AARON-JAMES,41
AARRON,202
ABAS,32
ABASS,36
ABAYOMI,22
ABBA,1
ABBAS,907
ABDAL,13
ABDALLA,155
ABDALLAH,338
ABDEL,112
ABDELRAHMAN,62
ABDI,279
ABDIRAHMAN,1129
ABDUL,8398
ABDULLA,171
ABDULLAH,4949
ABDULRAHMAN,835
ABE,120
ABED,25
ABEL,919
ABIR,123
ABRAHAM,1176
ABRAM,46
ABU,891
ACE,375
ACHILLES,13
ADAIR,12
ADAL,28
ADAM,72607
ADAN,236
ADAR,20
ADDISON,796
ADEBAYO,36
ADEEL,500
ADEL,205
ADEM,521
ADEMIDE,8
ADEMOLA,82
ADEN,835
ADENIYI,7
ADETUNJI,1
ADEWALE,37
ADEWUMI,1
ADEYINKA,3
ADHAM,174
ADHVIK,2
ADI,122
ADIB,63
ADIE,5
ADIL,1790
ADITYA,615
ADLEY,48
ADNAAN,224
ADNAN,1138
ADON,55
ADONIS,80
ADREES,18
ADRIAN,11314
ADRIANO,158
ADRIEL,59
ADRIEN,141
ADRIS,11
ADVIK,22
ADWIN,1
ADY,3
AEDAN,340
AEDEN,13
AENGUS,19
AERON,223
AFOLABI,23
AFON,1
AFONSO,29
AFTAB,40
AFZAAL,9
AFZAL,76
AGNIUS,1
AGRON,1
AHAD,281
AHAMED,30
AHARON,115
AHMAD,2331
AHMAR,2
AHMED,5642
AHMET,351
AHRON,64
AHSAN,406
AIDAN,14149
AIDEN,11448
AILBHE,1
AIMAN,151
AIMEN,34
AINSLEY,253
AJANI,88
AJAX,1
AJAY,1494
AJEET,78
AJIT,63
AJMAL,104
AKAASH,126
AKASH,524
AKBAR,180
AKEEB,23
AKEEL,219
AKEEM,284
AKHIL,149
AKHTAR,10
AKIB,62
AKIEL,12
AKIF,114
AKIL,98
AKIM,52
AKIN,48
AKINTUNDE,12
AKIRA,153
AKIVA,146
AKMAL,62
AKRAM,384
AKSHAR,53
AKSHAY,405
AL,200
ALAA,27
ALAIN,44
ALAMIN,31
ALAN,33184
ALARIC,59
ALASDAIR,687
ALASTAIR,1377
ALBAN,204
ALBERT,27430
ALBERTO,230
ALBI,203
ALBIE,3012
ALBIN,76
ALBION,151
ALBUS,1
ALBY,417
ALDEN,79
ALDIN,2
ALDO,88
ALDOUS,1
ALDRICH,2
ALDRIN,3
ALEC,3336
ALED,857
ALEEM,192
ALEJANDRO,483
ALEK,55
ALEKSANDAR,203
ALEKSANDER,1297
ALEKSANDR,58
ALEN,66
ALESSANDRO,1076
ALESSIO,422
ALEX,29935
ALEXANDA,66
ALEXANDAR,48
ALEXANDER,85580
ALEXANDRE,718
ALEXANDRO,56
ALEXANDROS,481
ALEXANDRU,543
ALEXEI,180
ALEXI,100
ALEXIS,399
ALEXZANDER,97
ALF,47
ALFI,117
ALFIE,62950
ALFIE-JAMES,102
ALFIE-JOE,32
ALFIE-LEE,88
ALFONSO,88
ALFRED,22487
ALFREDO,114
ALFY,99
ALGERNON,4
ALI,7454
ALICAN,21
ALICK,15
ALIEU,124
ALIM,119
ALISDAIR,98
ALISHAN,7
ALISTAIR,2734
ALISTER,260
ALIX,189
ALLAN,6484
ALLEN,190
ALLISTAIR,3
ALLISTER,70
ALLY,78
ALMIR,51
ALOM,3
ALON,12
ALONSO,22
ALOYSIUS,1
ALPER,59
ALPHIE,39
ALPHONSE,6
ALPHONSO,3
ALPHONSUS,1
ALTON,16
ALUN,94
ALVARO,103
ALVIN,584
ALWYN,59
ALYAAN,20
ALYN,3
ALYX,2
AMAAD,130
AMAAN,2543
AMAAR,252
AMADEUS,10
AMADU,7
AMAL,84
AMAN,1527
AMANDEEP,259
AMANI,155
AMANJOT,13
AMANPREET,17
AMANUEL,6
AMANVEER,48
AMAR,1007
AMARDEEP,116
AMARI,894
AMARIS,1
AMARJIT,11
AMARNI,39
AMARPAL,15
AMARVEER,55
AMBROSE,155
AMEDEO,3
AMEEN,355
AMEER,489
AMER,127
AMIL,53
AMIN,689
AMINE,156
AMINUL,55
AMINUR,55
AMIR,2320
AMIRUL,23
AMIT,200
AMJAD,98
AMJID,3
AMMAAR,301
AMMAD,24
AMMAN,128
AMMAR,708
AMOR,3
AMOS,466
AMR,152
AMRAN,28
AMRIK,82
AMRIT,364
AMRITPAL,86
AMRY,1
AMUN,22
ANAKIN,89
ANAN,6
ANAND,221
ANAS,1361
ANASS,25
ANASTASIOS,22
ANDERS,115
ANDERSON,291
ANDI,125
ANDRE,1962
ANDREA,143
ANDREAS,981
ANDREI,562
ANDRES,199
ANDREW,58900
ANDREY,118
ANDRIUS,7
ANDRZEJ,74
ANDY,729
ANEEL,15
ANEEQ,80
ANEES,255
ANEESH,72
ANEIL,13
ANEIRIN,120
ANELKA,3
ANEURIN,349
ANGAD,156
ANGE,21
ANGEL,225
ANGELO,853
ANGELOS,54
ANGUS,3684
ANIL,259
ANIRUDH,28
ANIS,285
ANISH,558
ANJUM,14
ANKIT,79
ANKUR,7
ANMOL,105
ANOOP,79
ANOSH,10
ANSAR,27
ANSEL,21
ANSON,95
ANTHONIE,4
ANTHONY,44697
ANTOINE,346
ANTON,1444
ANTONI,1370
ANTONINO,43
ANTONIO,1662
ANTONY,5739
ANTWONE,14
ANUJ,89
ANUOLUWAPO,14
ANWAR,337
AODAN,3
AODHAN,130
APOLLO,18
AQEEB,61
AQEEL,329
AQIB,537
AQIL,131
AQUIB,10
ARAD,14
ARAFAT,101
ARAN,799
ARANDEEP,82
ARASH,129
ARBAAZ,138
ARBAB,22
ARBAZ,64
ARBEN,27
ARBER,114
ARBNOR,3
ARCHER,689
ARCHIBALD,2869
ARCHIBOLD,5
ARCHIE,35519
ARCHIEBALD,1
ARCHIE-JAMES,20
ARCHIE-LEE,32
ARCHIMEDES,2
ARDA,589
ARDEN,21
ARDIAN,3
ARDIL,14
AREEB,294
AREES,16
AREN,132
ARES,14
ARFAN,63
ARHAM,368
ARHUM,8
ARI,353
ARIA,96
ARIAN,428
ARIC,12
ARIEL,225
ARIF,450
ARIFUL,17
ARIN,248
ARIS,140
ARISH,19
ARJAN,841
ARJUN,2604
ARLAN,13
ARLEN,133
ARLIE,34
ARLIND,76
ARLO,2210
ARMAAN,1354
ARMAN,701
ARMAND,114
ARMANDO,142
ARMANI,366
ARMARI,3
ARMEN,1
ARMIN,117
ARNAUD,37
ARNAV,481
ARNE,33
ARNIE,182
ARNO,20
ARNOLD,3165
ARO,18
ARON,1685
AROON,24
ARPAD,2
ARRAN,1809
ARREN,54
ARRIE,4
ARRON,2100
ARRUN,19
ARRY,63
ARSALAAN,69
ARSALAN,188
ARSHAD,88
ARSLAAN,46
ARSLAN,148
ART,170
ARTE,1
ARTEM,28
ARTHUR,40055
ARTIE,27
ARTUR,391
ARTURO,87
ARTY,5
