NAME,gender,count,90sCount,AdjustedCount
AADAM,M,1461,202,1461
AARAN,M,429,123,429
AARON,M,35569,11640,35569
AARONDEEP,M,77,43,77
AARON-JAMES,M,41,3,41
AARRON,M,202,117,202
AARTI,F,54,25,54
ABAGAIL,F,21,21,21
ABAS,M,32,13,32
ABASS,M,36,8,36
ABAYOMI,M,22,15,22
ABBA,M,3,0,1
ABBAS,M,907,203,907
ABBE,F,14,8,14
ABBEY,F,2764,1212,2764
ABBEYGAIL,F,56,33,56
ABBEYGALE,F,13,7,13
ABBI,F,1135,403,1135
ABBIE,F,16181,5597,16181
ABBIEGAIL,F,77,23,77
ABBIEGALE,F,14,7,14
ABBIE-JO,F,22,3,22
ABBIE-LEIGH,F,115,32,115
ABBIE-LOUISE,F,59,23,59
ABBIE-MAE,F,42,5,42
ABBIE-MAY,F,36,7,36
ABBIE-ROSE,F,19,3,19
ABBIGAIL,F,551,203,551
ABBIGALE,F,51,28,51
ABBIGAYLE,F,29,13,29
ABBY,F,4473,1470,4473
ABBYGAIL,F,113,38,113
ABBYGALE,F,12,8,12
ABBY-LEIGH,F,10,5,10
ABDAL,M,13,10,13
ABDALLA,M,155,9,155
ABDALLAH,M,338,34,338
ABDEL,M,112,17,112
ABDELRAHMAN,M,62,3,62
ABDI,M,279,53,279
ABDIRAHMAN,M,1129,106,1129
ABDUL,M,8398,1131,8398
ABDULLA,M,171,36,171
ABDULLAH,M,4949,563,4949
ABDULRAHMAN,M,835,77,835
ABE,M,120,16,120
ABED,M,25,3,25
ABEL,M,919,70,919
ABI,F,1465,167,1465
ABIE,F,25,10,25
ABIGAEL,F,206,43,206
ABIGAIL,F,43219,12380,43219
ABIGAILE,F,34,8,34
ABIGALE,F,292,94,292
ABIGAYLE,F,283,125,283
ABIMBOLA,F,32,7,32
ABIOLA,F,32,9,32
ABIR,M,123,21,123
ABIR,F,25,9,25
ABIRAMI,F,39,9,39
ABISOLA,F,56,11,56
ABRAHAM,M,1176,227,1176
ABRAM,M,46,3,46
ABRIL,F,21,0,7
ABU,M,891,188,891
ABY,F,22,3,22
ABYGAIL,F,78,29,78
ACACIA,F,383,55,383
ACE,M,375,24,375
ACHILLES,M,39,0,13
ADA,F,6035,36,6035
ADAEZE,F,140,22,140
ADAIR,M,12,3,12
ADAL,M,28,22,28
ADAM,M,72607,20259,72607
ADAMA,F,114,15,114
ADAN,M,236,31,236
ADANNA,F,104,9,104
ADAR,M,61,0,20
ADARA,F,70,14,70
ADDISON,M,796,49,796
ADDISON,F,505,3,505
ADEBAYO,M,36,12,36
ADEEL,M,500,197,500
ADEL,M,205,46,205
ADEL,F,56,14,56
ADELA,F,264,29,264
ADELAIDE,F,675,111,675
ADELE,F,1815,725,1815
ADELIA,F,23,0,8
ADELIE,F,8,0,3
ADELINA,F,231,12,231
ADELINE,F,247,20,247
ADELL,F,6,0,2
ADELLA,F,18,7,18
ADELLE,F,237,98,237
ADEM,M,521,103,521
ADEMIDE,M,25,0,8
ADEMOLA,M,82,17,82
ADEN,M,835,104,835
ADENIKE,F,46,11,46
ADENIYI,M,7,4,7
ADEOLA,F,116,35,116
ADERINOLA,F,3,0,1
ADERONKE,F,16,5,16
ADESIRE,F,3,0,1
ADETOKUNBO,F,3,0,1
ADETUNJI,M,3,0,1
ADETUTU,F,7,4,7
ADEWALE,M,37,10,37
ADEWUMI,M,3,0,1
ADEYINKA,M,3,3,3
ADHAM,M,174,43,174
ADHVIK,M,5,0,2
ADI,M,122,7,122
ADI,F,87,14,87
ADIA,F,52,0,17
ADIB,M,63,15,63
ADIBA,F,178,36,178
ADIE,M,15,0,5
ADIL,M,1790,538,1790
ADILA,F,57,24,57
ADILAH,F,26,18,26
ADINA,F,326,98,326
ADISA,F,9,3,9
ADITI,F,367,29,367
ADITYA,M,615,42,615
ADJOA,F,31,12,31
ADLEY,M,48,3,48
ADNA,F,120,8,120
ADNAAN,M,224,81,224
ADNAN,M,1138,279,1138
ADON,M,55,9,55
ADONIA,F,14,7,14
ADONIS,M,80,9,80
ADREES,M,18,15,18
ADRIAN,M,11314,644,11314
ADRIANA,F,933,95,933
