NAME,gender,count,90sCount,AdjustedCount
-------,F,4,4,0
---------,F,4,4,4
A,M,71,0,24
A.J.,M,6,3,6
AABAN,M,97,0,32
AABID,M,28,8,28
AADARSH,M,11,0,4
AADEN,M,18,0,6
AADESH,M,4,0,1
AADHAM,M,9,0,3
AADHAV,M,14,0,5
AADHIRA,F,4,0,1
AADHYA,F,95,0,32
AADI,M,154,0,51
AADIL,M,545,154,545
OENONE,F,3,0,1
OGHENEFEGA,F,3,0,1
OGHENERUNO,F,3,0,1
OGHENETEJIRI,M,3,0,1
OGHOSA,F,3,0,1
OHANA,F,3,0,1
OJASVI,F,3,0,1
OKECHUKWU,M,3,0,1
OKIKIOLA,M,3,0,1
OKTAWIA,F,3,0,1
OLABISI,F,3,0,1
OLADAYO,M,3,0,1
OLAITAN,F,3,0,1
OLAREWAJU,M,3,0,1
OLASENI,M,3,0,1
OLATUNBOSUN,M,3,0,1
OLENKA,F,3,0,1
OLORUNTOBA,M,3,0,1
OLUFUNMILOLA,F,3,0,1
OLUMUYIWA,M,3,0,1
OLUTOMILOLA,F,3,0,1
OLUWABUSAYOMI,F,3,0,1
OLUWADAMILARE,F,3,0,1
OLUWADAMILOJU,M,3,0,1
OLUWADAMISI,M,3,0,1
OLUWADOLAPO,F,3,0,1
OLUWADUNMININU,F,3,0,1
OLUWADUROTIMI,F,3,0,1
OLUWAFIKAYO,M,3,0,1
OLUWAFIKUNMI,M,3,0,1
OLUWAFOLABOMI,M,3,0,1
OLUWAFUNTAN,M,3,0,1
OLUWAJUWONLO,M,3,0,1
OLUWALAYOMI,F,3,0,1
OLUJIMI,M,6,0,2
OLUWAFIKAYOMI,M,5,0,2
JABARI,M,44,3,44
JABED,M,22,9,22
JABER,M,32,11,32
JABEZ,M,51,8,51
JAINIL,M,24,0,8
JAIPAL,M,22,6,22
JAIPREET,F,48,8,48
JAKIA,F,19,7,19
JAKIR,M,15,15,15
JAISON,M,26,3,26
JAIVEER,M,119,0,40
JAIVIR,M,6,0,2
JAIDE,F,59,28,59
JAIDEEP,M,75,8,75
JABIR,M,145,21,145
JAMAR,M,64,10,64
JAMARI,M,83,0,28
JAMARL,M,8,8,8
JAGDEEP,M,97,58,97
JAGJEET,M,36,10,36
JAGJIT,M,24,24,24
JAIMIN,M,60,35,60
JAIMINI,F,34,24,34
JAGRAJ,M,83,23,83
JAGROOP,M,32,14,32
JAGVIR,M,14,6,14
JAHAN,M,62,20,62
JAHANARA,F,11,7,11
JAHANGIR,M,26,18,26
JAHANZEB,M,18,10,18
JAHED,M,39,26,39
JAHEDUR,M,3,3,3
JABRAAN,M,9,9,9
JABRIL,M,85,0,28
OLUWAJOBA,M,5,0,2
OLUWAJUWON,M,5,0,2
OLUWATENIOLA,M,6,0,2
OLUWATOMIWA,F,6,0,2
OMOLAYO,F,6,0,2
OBAIDULLAH,M,3,0,1
OBIAJULU,M,3,0,1
OBIORA,M,3,0,1
ODAFE,M,3,0,1
OSAYUWAMEN,F,3,0,1
ODELYA,F,3,0,1
ODUNAYO,M,3,0,1
OLUWALONIMI,M,3,0,1
OLUWAMUYIWA,M,3,0,1
OLUWASIJIBOMI,M,3,0,1
OLUWASOLA,F,3,0,1
OLUWATARAMISORE,F,3,0,1
OLUWATENIAYO,M,3,0,1
OLUWATISE,M,3,0,1
OLUWATOBA,M,3,0,1
OLUWATUMININU,M,3,0,1
OLUYEMI,M,3,0,1
OLWETHU,F,3,0,1
OLWETHU,M,3,0,1
OMISHA,F,3,0,1
OMOTOLA,M,3,0,1
OMOTOLANI,F,3,0,1
OMOWONUOLA,F,3,0,1
ONOSETALE,M,3,0,1
ONYINYE,F,3,0,1
AADIT,M,45,0,15
AADITYA,M,103,6,103
AADVIK,M,12,0,4
AADYA,F,107,0,36
AADYA,M,7,0,2
AAEESHA,F,18,0,6
AAFIA,F,58,0,19
AAFIYA,F,26,0,9
AAFIYAH,F,49,0,16
AAFREEN,F,52,0,17
AAFRIN,F,9,0,3
AAHAAN,M,3,0,1
AAHAD,M,9,0,3
AAHAN,M,28,0,9
AAHANA,F,54,0,18
AAHIL,M,443,0,148
AAHNA,F,14,0,5
AAILA,F,99,0,33
AAILYAH,F,3,0,1
AAIMA,F,96,0,32
AAINA,F,9,0,3
AAIRA,F,104,0,35
AAIRAH,F,91,0,30
AAISHA,F,615,101,615
AA'ISHA,F,6,0,2
AAISHAH,F,234,39,234
AA'ISHAH,F,18,6,18
AAIZA,F,51,0,17
AAIZAH,F,21,0,7
AAJAY,M,3,0,1
AAKARSH,M,3,0,1
AAKASH,M,104,47,104
AAKIF,M,10,0,3
AAKIFA,F,17,0,6
AAKIFAH,F,148,23,148
AAKRITI,F,3,0,1
AALA,F,44,3,44
AALAA,F,12,0,4
AALAYA,F,3,0,1
AALAYAH,F,56,0,19
AALEAH,F,3,0,1
AALEEN,F,6,0,2
AALEIGHA,F,10,0,3
AALEYAH,F,131,0,44
AALIA,F,296,43,296
AALIAH,F,165,21,165
AALIM,M,10,0,3
AALIMAH,F,22,0,7
AALISHA,F,16,3,16
AALIYA,F,511,61,511
AALIYAAN,M,3,0,1
AALIYAH,F,7275,568,7275
AALIYAH-JADE,F,4,0,1
AALIYAH-LOUISE,F,3,0,1
AALIYAH-MAE,F,10,0,3
AALIYAH-MAI,F,3,0,1
AALIYAH-MARIE,F,3,0,1
AALIYAH-MAY,F,9,0,3
AALIYAH-ROSE,F,37,0,12
AALIYAN,M,15,0,5
AALIYHA,F,33,0,11
AALLIYAH,F,3,0,1
AALYA,F,7,0,2
AALYAH,F,3,0,1
AALYIAH,F,6,0,2
AAMAL,F,8,0,3
AAMAN,M,13,7,13
AAMANEE,F,15,0,5
AAMANI,F,34,0,11
AAMAR,M,6,3,6
AAMAYA,F,7,0,2
AAMENA,F,109,33,109
AAMENAH,F,61,17,61
AAMER,M,17,0,6
AAMIL,M,15,0,5
AAMILAH,F,125,0,42
AAMINA,F,970,115,970
AAMINAH,F,1523,146,1523
AAMIR,M,544,210,544
AAMIRA,F,101,9,101
AAMIRAH,F,157,42,157
AAMIYAH,F,3,0,1
AAMNA,F,402,68,402
AAMNAH,F,61,7,61
