NAME,gender,count,90sCount,AdjustedCount
AARTI,F,54,25,54
ABAGAIL,F,21,21,21
ABBE,F,14,8,14
ABBEY,F,2764,1212,2764
ABBEYGAIL,F,56,33,56
ABBEYGALE,F,13,7,13
ABBI,F,1135,403,1135
ABBIE,F,16181,5597,16181
ABBIEGAIL,F,77,23,77
ABBIEGALE,F,14,7,14
ABBIE-JO,F,22,3,22
ABBIE-LEIGH,F,115,32,115
ABBIE-LOUISE,F,59,23,59
ABBIE-MAE,F,42,5,42
ABBIE-MAY,F,36,7,36
ABBIE-ROSE,F,19,3,19
ABBIGAIL,F,551,203,551
ABBIGALE,F,51,28,51
ABBIGAYLE,F,29,13,29
ABBY,F,4473,1470,4473
ABBYGAIL,F,113,38,113
ABBYGALE,F,12,8,12
ABBY-LEIGH,F,10,5,10
ABI,F,1465,167,1465
ABIE,F,25,10,25
ABIGAEL,F,206,43,206
ABIGAIL,F,43219,12380,43219
ABIGAILE,F,34,8,34
ABIGALE,F,292,94,292
ABIGAYLE,F,283,125,283
ABIMBOLA,F,32,7,32
ABIOLA,F,32,9,32
ABIR,F,25,9,25
ABIRAMI,F,39,9,39
ABISOLA,F,56,11,56
ABRIL,F,21,0,7
ABY,F,22,3,22
ABYGAIL,F,78,29,78
ACACIA,F,383,55,383
ADA,F,6035,36,6035
ADAEZE,F,140,22,140
ADAMA,F,114,15,114
ADANNA,F,104,9,104
ADARA,F,70,14,70
ADDISON,F,505,3,505
ADEL,F,56,14,56
ADELA,F,264,29,264
ADELAIDE,F,675,111,675
ADELE,F,1815,725,1815
ADELIA,F,23,0,8
ADELIE,F,8,0,3
ADELINA,F,231,12,231
ADELINE,F,247,20,247
ADELL,F,6,0,2
ADELLA,F,18,7,18
ADELLE,F,237,98,237
ADENIKE,F,46,11,46
ADEOLA,F,116,35,116
ADERINOLA,F,3,0,1
ADERONKE,F,16,5,16
ADESIRE,F,3,0,1
ADETOKUNBO,F,3,0,1
ADETUTU,F,7,4,7
ADI,F,87,14,87
ADIA,F,52,0,17
ADIBA,F,178,36,178
ADILA,F,57,24,57
ADILAH,F,26,18,26
ADINA,F,326,98,326
ADISA,F,9,3,9
ADITI,F,367,29,367
ADJOA,F,31,12,31
ADNA,F,120,8,120
ADONIA,F,14,7,14
ADRIANA,F,933,95,933
ADRIANE,F,4,4,4
ADRIANNA,F,434,43,434
ADRIANNE,F,79,59,79
ADRIEN,F,3,3,3
ADRIENNE,F,232,121,232
ADVIKA,F,28,0,9
ADWOA,F,58,8,58
AEMILIA,F,43,10,43
AERIN,F,73,8,73
AERITH,F,4,0,1
AESHA,F,34,9,34
AFEEFAH,F,79,13,79
AFIA,F,259,25,259
AFIFA,F,107,24,107
AFIFAH,F,92,20,92
AFIYA,F,102,10,102
AFIYAH,F,109,9,109
AFNAN,F,153,16,153
AFRA,F,99,25,99
AFRAH,F,87,9,87
AFREEN,F,283,47,283
AFRICA,F,20,7,20
AFRIDA,F,7,4,7
AFRIN,F,58,9,58
AFSA,F,100,8,100
AFSANA,F,340,121,340
AFSHA,F,69,25,69
AFSHAH,F,14,11,14
AFSHAN,F,25,12,25
AFSHEEN,F,86,12,86
AFTON,F,7,7,7
AFUA,F,62,17,62
AGATA,F,289,3,289
AGATHA,F,604,70,604
AGGIE,F,3,0,1
AGNES,F,5802,100,5802
AGNESA,F,14,3,14
AHLAM,F,250,33,250
AIBHLINN,F,28,0,9
AICHA,F,262,37,262
AIDA,F,332,29,332
AIDAN,F,15,7,15
AIDEEN,F,26,12,26
AIDEN,F,7,4,7
AIESHA,F,221,48,221
AILA,F,467,10,467
AILEEN,F,132,40,132
AILIDH,F,3,3,3
AILIN,F,3,0,1
AILIS,F,86,51,86
AILISE,F,3,3,3
AILISH,F,321,161,321
AILISHA,F,11,11,11
AILSA,F,553,179,553
AIMA,F,130,10,130
AIMAN,F,159,17,159
AIME,F,81,32,81
AIMEE,F,16025,4149,16025
AIMEE-LEIGH,F,225,24,225
AIMEE-LOUISE,F,97,19,97
AIMEN,F,116,6,116
AIMI,F,35,6,35
AIMIE,F,304,99,304
AIMY,F,11,3,11
AINE,F,619,169,619
AINSLEIGH,F,7,7,7
AINSLEY,F,54,26,54
AISHA,F,9703,1761,9703
AISHAH,F,1440,367,1440
A'ISHAH,F,80,11,80
AISHANI,F,80,3,80
AISHAT,F,132,29,132
AISHIA,F,16,13,16
AISHLING,F,23,23,23
AISHWARYA,F,138,26,138
AISLA,F,63,3,63
AISLIN,F,42,15,42
AISLING,F,778,353,778
AISLINN,F,182,89,182
AISSATOU,F,41,0,14
AISTE,F,33,0,11
AIYANA,F,250,18,250
AIYSHA,F,245,105,245
AIZA,F,1242,17,1242
AJA,F,22,11,22
AJI,F,46,11,46
AJUNI,F,25,0,8
AKASHA,F,65,22,65
AKILA,F,30,8,30
AKILAH,F,62,12,62
AKIRA,F,311,33,311
